d_date k k delta_z delta_max_at delta_min_at delta_dewp
2003-07-01 0.968647 0.970154 0.837590398726863 -3.2 0.1 -9.3
2003-07-02 0.914424 0.891234 0.837590398726863 -2.1 1.6 -5.5
2003-07-03 0.935128 0.872143 0.837590398726863 -3.7 3 -4
2003-07-04 0.912657 0.893541 0.837590398726863 -4.7 3.4 -7.6
2003-07-05 0.895523 0.891646 0.837590398726863 -2.8 1 -7.9
2003-07-06 0.925237 0.903144 0.837590398726863 -0.800001 2.6 -6.5
2003-07-07 0.946276 0.921325 0.837590398726863 -1 2.7 -6.1
2003-07-08 0.935295 0.952367 0.837590398726863 -3.1 2.7 -7.8
2003-07-10 0.94076 0.900179 0.837590398726863 -3.6 2 -6.6
2003-07-11 0.985946 0.97011 0.837590398726863 -4.8 3.3 -6.5
2003-07-14 0.966627 0.96561 0.837590398726863 -3.5 1.4 -9.8
2003-07-15 0.980951 0.978296 0.837590398726863 -2.1 0.5 -7.3
2003-07-16 0.979585 0.96734 0.837590398726863 -3 2 -7
2003-07-17 0.974198 0.973595 0.837590398726863 -3.5 4.4 -5.9
2003-07-21 0.973104 0.970952 0.837590398726863 -2.9 0 -3.5
2003-07-22 0.883255 0.950693 0.837590398726863 -1.8 3.2 -2.6
2003-07-24 0.900913 0.94689 0.837590398726863 -4.7 1.7 -4.6
2003-07-25 0.933573 0.973134 0.837590398726863 -2.1 2.8 -4.7
2003-07-26 0.971589 0.999823 0.837590398726863 -5.4 1.4 -4.8
2003-07-27 0.976075 0.975017 0.837590398726863 -4.3 5.6 -6.1
2003-07-28 0.924797 0.980909 0.837590398726863 -3.9 4.6 -4.6
2003-07-29 0.976089 0.957604 0.837590398726863 -0.699997 5.1 -4.2
2003-07-30 0.918977 0.728034 0.837590398726863 1.4 2.3 -0.799999
2004-07-01 0.928816 0.949188 0.837590398726863 -2.3 1.7 -3.1
2004-07-02 0.888568 0.967392 0.837590398726863 -3.2 1.1 -3.4
2004-07-03 0.920631 0.949734 0.837590398726863 -2.2 2.4 -4.7
2004-07-04 0.977604 0.980303 0.837590398726863 -2.5 3.8 -6.1
2004-07-05 0.980533 0.976285 0.837590398726863 -1.7 2.6 -6.5
2004-07-06 0.95468 0.967068 0.837590398726863 -0.900002 3.4 -3.6
2004-07-07 0.966889 0.975465 0.837590398726863 2 3.2 -2.3
2004-07-08 0.982463 0.984377 0.837590398726863 -0.200001 2.7 -3.5
2004-07-09 0.976726 0.939415 0.837590398726863 -0.1 1.7 -1.6
2004-07-10 0.981343 0.979589 0.837590398726863 -2.6 0.900001 -4.9
2004-07-11 0.980865 0.975875 0.837590398726863 -3.9 2.2 -6.2
2004-07-12 0.974769 0.986528 0.837590398726863 -1.8 4.9 -7.7
2004-07-13 0.979705 0.984091 0.837590398726863 -0.300001 3.2 -9.2
2004-07-14 0.981058 0.974051 0.837590398726863 -1.4 4.1 -8.5
2004-07-15 0.989286 0.984496 0.837590398726863 -2.7 4 -7.8
2004-07-16 0.90337 0.886751 0.837590398726863 -1.9 3.2 -9.6
2004-07-17 0.962049 0.977983 0.837590398726863 -2.6 4.7 -7.6
2004-07-18 0.98202 0.967415 0.837590398726863 -4.4 1.9 -6.4
2004-07-19 0.967787 0.986773 0.837590398726863 -3.1 2 -4.8
2004-07-20 0.976024 0.979994 0.837590398726863 -4.7 0.5 -2.8
2004-07-21 0.975256 0.979507 0.837590398726863 -3.3 3.7 -5.4
2004-07-22 0.973085 0.982969 0.837590398726863 -2.2 4.8 -6.1
2004-07-23 0.980764 0.977993 0.837590398726863 0.800001 5.3 -6.8
