d_date k k delta_z delta_max_at delta_min_at delta_dewp
2003-07-15 0.965109 0.939938 0.488594399257336 7.7 -2.7 -3
2003-07-17 0.631542 0.67593 0.488594399257336 4.6 -2.6 -1.9
2003-07-21 0.94205 0.8781 0.488594399257336 2.3 -0.1 -5.4
2003-07-22 0.513775 0.618614 0.488594399257336 2.2 -0.300001 -1.7
2003-07-23 0.975672 0.838051 0.488594399257336 6.4 -1.7 -2
2003-07-24 0.953586 0.778281 0.488594399257336 4.4 -2.9 -1.2
2003-07-25 0.963805 0.870324 0.488594399257336 4.1 -2 -1.5
2003-07-26 0.962714 0.967744 0.488594399257336 2.7 -1.5 -2.3
2003-07-27 0.972042 0.962077 0.488594399257336 1.4 -0.4 -1.7
2003-07-28 0.768629 0.877688 0.488594399257336 3.9 0.299999 -1.8
2003-07-29 0.774965 0.957225 0.488594399257336 0.5 0.700001 -0.700001
2003-07-30 0.535292 0.423966 0.488594399257336 2 -1.4 -1.8
2003-07-31 0.977494 0.992118 0.488594399257336 1.9 -1 -2
2004-07-01 0.963695 0.858764 0.488594399257336 2 -2.7 -1.9
2004-07-02 0.988636 0.881398 0.488594399257336 3.4 -0.5 -1.5
2004-07-03 0.698608 0.614863 0.488594399257336 2.4 -1.5 -0.7
2004-07-04 0.916689 0.844466 0.488594399257336 1.7 -2 -1
2004-07-05 0.933621 0.823007 0.488594399257336 2.6 -1.5 -0.9
2004-07-07 0.798285 0.707698 0.488594399257336 3.1 -1.4 -0.599999
2004-07-08 0.782139 0.619043 0.488594399257336 3.8 -0.7 -0.5
2004-07-09 0.985132 0.93018 0.488594399257336 3.3 -2 -1.5
2004-07-10 0.963563 0.974447 0.488594399257336 4.6 0.3 -2.6
2004-07-11 0.968826 0.962269 0.488594399257336 4.2 -2.4 -3.9
2004-07-12 0.957758 0.955858 0.488594399257336 5.5 -1.9 -3.7
2004-07-13 0.964013 0.958421 0.488594399257336 3.7 3.5 -6.9
2004-07-14 0.972688 0.982208 0.488594399257336 3.8 -3.6 -8.8
2004-07-15 0.686099 0.837206 0.488594399257336 4 2.4 -8
2004-07-16 0.905112 0.908576 0.488594399257336 4.2 -2.2 -4.9
2004-07-17 0.970384 0.992126 0.488594399257336 4.3 0.9 -8.7
2004-07-18 0.97172 0.977879 0.488594399257336 3.6 -2.5 -5.5
2004-07-19 0.973183 0.981697 0.488594399257336 3.2 -2.5 -4.7
2004-07-20 0.969312 0.984066 0.488594399257336 2.9 1.7 -3.9
2004-07-21 0.966359 0.981895 0.488594399257336 4.2 -1 -2.2
2004-07-22 0.968096 0.938582 0.488594399257336 4.7 -0.200001 -1.5
2004-07-23 0.969251 0.810196 0.488594399257336 4.8 -2.9 0.599999
2004-07-24 0.959383 0.956765 0.488594399257336 4.6 -1.5 -0.200001
2004-07-25 0.968148 0.978754 0.488594399257336 4.6 0.1 -2.4
2004-07-26 0.972045 0.906485 0.488594399257336 4.9 0.300001 -3.2
2004-07-27 0.965554 0.958568 0.488594399257336 5.9 -2.6 -2.1
2004-07-28 0.959826 0.91668 0.488594399257336 6 -2 -0.7
2004-07-29 0.983487 0.952214 0.488594399257336 4 -1.7 -1.5
2004-07-30 0.958454 0.747067 0.488594399257336 6.2 -0.4 0.9
2004-07-31 0.972377 0.919852 0.488594399257336 5.9 -1.5 -0.4
2005-07-02 0.973055 0.893493 0.488594399257336 6.6 -2.6 -1
2005-07-03 0.952483 0.763207 0.488594399257336 7.6 -0.8 -0.6
2005-07-04 0.968779 0.86067 0.488594399257336 4.4 -0.2 -1.9
2005-07-05 0.950551 0.902019 0.488594399257336 4 -1.1 -1
2005-07-06 0.982065 0.916734 0.488594399257336 5.5 -0.4 -2.1
2005-07-07 0.975755 0.906137 0.488594399257336 5.8 -4.3 -2.2
2005-07-08 0.964589 0.862542 0.488594399257336 7 -2.4 -0.9
2005-07-09 0.961603 0.829616 0.488594399257336 5.8 -1.4 -0.7
2005-07-10 0.926136 0.814079 0.488594399257336 7.2 -2.3 -0.6
2005-07-11 0.963621 0.90316 0.488594399257336 8.9 -0.3 -0.5
2005-07-12 0.946596 0.625109 0.488594399257336 10.4 -0.400001 -0.5
2005-07-13 0.973441 0.945605 0.488594399257336 5.9 1.6 -2.3
2005-07-14 0.835277 0.850507 0.488594399257336 5 -0.3 -2.3
2005-07-15 0.88649 0.745752 0.488594399257336 8.6 0.1 -0.1
2005-07-16 0.97027 0.764501 0.488594399257336 9 1 -0.8
2005-07-17 0.986997 0.863684 0.488594399257336 5.2 1.6 -0.300001
2005-07-18 0.973785 0.8322 0.488594399257336 8.3 3 0.299999
2005-07-19 0.939147 0.914882 0.488594399257336 12.3 0.900002 -0.200001
2005-07-20 0.846073 0.839847 0.488594399257336 4.8 4.9 -2
2005-07-21 0.967469 0.997043 0.488594399257336 2.7 -0.699999 -1.8
2005-07-22 0.985114 0.990303 0.488594399257336 3.1 -0.199999 -2.1
2005-07-23 0.653201 0.91458 0.488594399257336 8.2 1.7 -1.1
2005-07-24 0.805637 0.947419 0.488594399257336 6.1 -1.4 -0.5
2005-07-25 0.973872 0.976752 0.488594399257336 2.2 1.3 0.4
2005-07-26 0.982359 0.977334 0.488594399257336 5.9 1.1 -0.9
2005-07-27 0.983834 0.928639 0.488594399257336 3.8 0.200001 -2
2005-07-28 0.98801 0.986429 0.488594399257336 3 -1.5 -2.1
2005-07-29 0.980142 0.98303 0.488594399257336 3.3 0.4 -0.8
2005-07-30 0.973408 0.975391 0.488594399257336 3.5 4.6 -1.7
2005-07-31 0.985073 0.975461 0.488594399257336 5.3 0.799999 -0.8
2003-07-01 0.991405 0.992562 0.390143999406981 7.1 -2.4 -5.2
2003-07-02 0.953545 0.956685 0.390143999406981 6.2 1.3 -4.2
2003-07-03 0.924483 0.939555 0.390143999406981 6.3 -2.7 -3.2
2003-07-04 0.916245 0.929683 0.390143999406981 6 -3.8 -5.3
2003-07-05 0.936247 0.932025 0.390143999406981 6.7 1.4 -5.3
2003-07-06 0.92767 0.8775 0.390143999406981 5.1 -4 -3.1
2003-07-07 0.876105 0.808953 0.390143999406981 4.7 -0.8 -1.8
2003-07-08 0.961165 0.586959 0.390143999406981 6 -4.2 -2.2
2003-07-10 0.938738 0.807955 0.390143999406981 8.5 -1.6 -1.9
2003-07-11 0.911702 0.810511 0.390143999406981 7.8 -1.6 -4
2003-07-15 0.965109 0.970158 0.390143999406981 8.7 -2.8 -2.6
2003-07-22 0.513775 0.751914 0.390143999406981 4.1 -1.6 -2.7
2003-07-24 0.953586 0.729435 0.390143999406981 6.3 -2 -1.6
2003-07-25 0.963805 0.380918 0.390143999406981 6.8 -2.9 -2.2
2003-07-26 0.962714 0.921457 0.390143999406981 6.8 -2 -2.2
2003-07-27 0.972042 0.974542 0.390143999406981 7.3 -0.799999 -1.8
2003-07-28 0.768629 0.895535 0.390143999406981 5.7 -0.400002 -2.2
2003-07-29 0.774965 0.758719 0.390143999406981 4.7 0.9 -0.800001
2003-07-30 0.535292 0.550525 0.390143999406981 1.9 -1.1 -1.8
2003-07-31 0.977494 0.976542 0.390143999406981 6.9 -0.700001 -2
2004-07-01 0.963695 0.909516 0.390143999406981 3.5 -3.1 -3.1
2004-07-02 0.988636 0.793961 0.390143999406981 5.5 -2.4 -3.4
2004-07-03 0.698608 0.773857 0.390143999406981 3.3 -2.3 -2.5
2004-07-04 0.916689 0.739401 0.390143999406981 5.1 -3.2 -2.5
2004-07-05 0.933621 0.865891 0.390143999406981 7.8 -1.9 -1.8
2004-07-07 0.798285 0.789876 0.390143999406981 6.5 -1.8 -1.9
2004-07-08 0.782139 0.589311 0.390143999406981 5.2 -0.3 -1.8
2004-07-09 0.985132 0.923152 0.390143999406981 8.4 -1.8 -2.4
2004-07-10 0.963563 0.939024 0.390143999406981 7.8 -0.5 -4.1
2004-07-11 0.968826 0.803064 0.390143999406981 9.5 -1.2 -4.6
2004-07-12 0.957758 0.924185 0.390143999406981 9.3 -1.3 -4.3
2004-07-13 0.964013 0.944395 0.390143999406981 9.6 3.6 -8.4
2004-07-14 0.972688 0.978018 0.390143999406981 8.9 -3.2 -9.5
2004-07-15 0.686099 0.90739 0.390143999406981 2.9 2.4 -6.5
2004-07-16 0.905112 0.962884 0.390143999406981 5 -2.2 -5.8
2004-07-17 0.970384 0.954661 0.390143999406981 6.1 2 -9.8
2004-07-18 0.97172 0.963327 0.390143999406981 6 -2.3 -4.9
2004-07-19 0.973183 0.963124 0.390143999406981 7.4 -2.9 -5.5
2004-07-20 0.969312 0.973977 0.390143999406981 7.4 1 -5.5
2004-07-21 0.966359 0.924603 0.390143999406981 9.2 -0.599999 -3.5
2004-07-23 0.969251 0.800171 0.390143999406981 8.2 -2.7 -1.9
2004-07-24 0.959383 0.953609 0.390143999406981 10 -0.6 -1.8
2004-07-25 0.968148 0.938955 0.390143999406981 10.7 -0.6 -4
2004-07-26 0.972045 0.941849 0.390143999406981 12.4 1.4 -4.9
2004-07-27 0.965554 0.946299 0.390143999406981 7.8 -2.4 -4.1
2004-07-28 0.959826 0.892995 0.390143999406981 7.9 -2.4 -3
2004-07-29 0.983487 0.950783 0.390143999406981 7.1 -2.6 -3.5
2004-07-30 0.958454 0.880671 0.390143999406981 6.8 -1.3 -2.3
2004-07-31 0.972377 0.845859 0.390143999406981 7.9 -1.5 -2.6
2005-07-01 0.95214 0.768533 0.390143999406981 10.7 -0.400001 -1.7
2005-07-02 0.973055 0.809033 0.390143999406981 9.4 -1.7 -2.2
2005-07-03 0.952483 0.785807 0.390143999406981 8.4 -0.8 -1.4
2005-07-04 0.968779 0.804017 0.390143999406981 7.7 -0.4 -2.9
2005-07-05 0.950551 0.854876 0.390143999406981 9.1 -1.5 -1.9
2005-07-06 0.982065 0.921446 0.390143999406981 7.4 -0.4 -3.3
2005-07-07 0.975755 0.856228 0.390143999406981 8.4 -2.3 -3.4
2005-07-08 0.964589 0.928942 0.390143999406981 7.5 -2.1 -2.2
2005-07-09 0.961603 0.883025 0.390143999406981 4.7 -2.3 -2.1
2005-07-10 0.926136 0.834915 0.390143999406981 6.4 -2.3 -1.8
2005-07-11 0.963621 0.773692 0.390143999406981 8.7 -1.3 -2.1
2005-07-12 0.946596 0.773782 0.390143999406981 10.2 -1.2 -1.8
2005-07-13 0.973441 0.720941 0.390143999406981 12.7 2.3 -3.6
2005-07-14 0.835277 0.687546 0.390143999406981 8.9 -0.5 -3.3
2005-07-15 0.88649 0.881849 0.390143999406981 5.8 0.4 -2
2005-07-16 0.97027 0.759557 0.390143999406981 7.5 1.4 -2
2005-07-17 0.986997 0.648721 0.390143999406981 10.5 0.400002 -1.2
2005-07-18 0.973785 0.790585 0.390143999406981 9.7 2.3 -0.900002
2005-07-19 0.939147 0.973838 0.390143999406981 11.2 0.400002 -2.3
2005-07-25 0.973872 0.952257 0.390143999406981 6.6 1 -2.6
2005-07-26 0.982359 0.948355 0.390143999406981 7.8 1.6 -2.4
2005-07-27 0.983834 0.829609 0.390143999406981 9.3 0.400002 -4.1
2005-07-28 0.98801 0.961949 0.390143999406981 8.7 -1.3 -4.4
2005-07-29 0.980142 0.905127 0.390143999406981 9.3 -0.400002 -3.1
2005-07-30 0.973408 0.952524 0.390143999406981 8.8 3.4 -3.5
2005-07-31 0.985073 0.970846 0.390143999406981 9.9 0.5 -2.5
2003-07-15 0.959657 0.939938 0.333451199493154 4.4 -0.700001 -1.7
2003-07-17 0.893452 0.67593 0.333451199493154 2.6 -1 -0.1
2003-07-21 0.979625 0.8781 0.333451199493154 -0.6 -1.1 -2.3
2003-07-22 0.707621 0.618614 0.333451199493154 1.8 0.6 -0.0999985
2003-07-23 0.976546 0.838051 0.333451199493154 3.9 -1.6 -0.4
2003-07-24 0.947936 0.778281 0.333451199493154 2.4 -2.6 -0.0999985
2003-07-25 0.913672 0.870324 0.333451199493154 1.5 -1.1 -0.299999
2003-07-26 0.991791 0.967744 0.333451199493154 -0.5 -2.5 -0.9
2003-07-27 0.96834 0.962077 0.333451199493154 -0.799999 -0.9 -0.5
2003-07-28 0.829452 0.877688 0.333451199493154 1.4 -0.700001 0.1
2003-07-29 0.68367 0.957225 0.333451199493154 0.700001 0 0.299999
2003-07-30 0.605682 0.423966 0.333451199493154 1.1 -0.799999 -0.900002
2003-07-31 0.985861 0.992118 0.333451199493154 -1.5 -0.799999 -1.1
2004-07-01 0.927004 0.858764 0.333451199493154 -0.799999 -2.7 -0.3
2004-07-02 0.989042 0.881398 0.333451199493154 0.200001 -0.7 0.3
2004-07-03 0.79557 0.614863 0.333451199493154 0.6 -1.2 0.7
2004-07-04 0.809497 0.844466 0.333451199493154 -0.300001 -2 0.1
2004-07-05 0.964062 0.823007 0.333451199493154 -0.9 -2.5 0
2004-07-07 0.930377 0.707698 0.333451199493154 0.5 -1.5 0.6
2004-07-08 0.679743 0.619043 0.333451199493154 0.4 -1.1 0.6
2004-07-09 0.963207 0.93018 0.333451199493154 -0.299999 -2.2 -0.2
2004-07-10 0.979529 0.974447 0.333451199493154 1.8 -1.8 -0.7
2004-07-11 0.974937 0.962269 0.333451199493154 1.8 -2.9 -1.7
2004-07-12 0.980493 0.955858 0.333451199493154 1.7 -1.7 -1.5
2004-07-13 0.98186 0.958421 0.333451199493154 1.4 -0.5 -4.2
2004-07-14 0.988458 0.982208 0.333451199493154 1.3 -0.2 -9.1
2004-07-15 0.711716 0.837206 0.333451199493154 2.8 0.299999 -5.8
2004-07-16 0.895955 0.908576 0.333451199493154 2.5 -0.1 -3.8
2004-07-17 0.961466 0.992126 0.333451199493154 2.8 -0.699999 -5
2004-07-18 0.964326 0.977879 0.333451199493154 1.4 -0.700001 -5.3
