d_date k1 k2 delta_z delta_max_at delta_min_at delta_dewp
2003-05-01 0.718308 0.627903 0.5455919991707 -1.5 -6.6 -2.2
2003-05-02 0.285515 0.476654 0.5455919991707 -5.8 -2.7 -2.2
2003-05-03 0.711987 0.643128 0.5455919991707 -6.1 -5.8 -0.2
2003-05-04 0.633243 0.441054 0.5455919991707 -2.2 -3 -1.5
2003-05-05 0.901473 0.762815 0.5455919991707 -3.4 -4 -1.9
2003-05-06 0.955972 0.940655 0.5455919991707 -3 -3 -1.3
2003-05-07 0.595684 0.671696 0.5455919991707 -5.6 -7.4 -1
2003-05-08 0.786552 0.450914 0.5455919991707 -2.5 -4.9 -1.8
2003-05-09 0.854042 0.734608 0.5455919991707 -2.5 -4.1 -3.4
2003-05-10 0.970591 0.987147 0.5455919991707 -3.1 -3.5 -3.9
2003-05-11 0.981772 0.9893 0.5455919991707 -2 -4 -3.5
2003-05-12 0.94041 0.946764 0.5455919991707 -2.3 -4.1 -3.5
2003-05-13 0.91829 0.863639 0.5455919991707 -1.7 -8.1 -1.8
2003-05-14 0.701594 0.770527 0.5455919991707 -6.4 -7.7 0.3
2003-05-15 0.965082 0.974643 0.5455919991707 -1.6 -8.7 -2.9
2003-05-16 0.951956 0.953186 0.5455919991707 -2.6 -4.3 -2.8
2003-05-17 0.650719 0.585849 0.5455919991707 -1.9 -3.5 -3.1
2003-05-18 0.950971 0.988164 0.5455919991707 -1.9 -7.1 -3.4
2003-05-19 0.960627 0.970941 0.5455919991707 -2 -6.3 -3.9
2003-05-20 0.950657 0.971483 0.5455919991707 -2.4 -6.5 -5.1
2003-05-21 0.978347 0.980206 0.5455919991707 -1.8 -6.4 -4.3
2003-05-22 0.956446 0.969609 0.5455919991707 -2.1 -7.9 -3.7
2003-05-23 0.948991 0.967301 0.5455919991707 -2.7 -6.7 -2.2
2003-05-24 0.958179 0.977591 0.5455919991707 -3.5 -9.1 0.0999994
2003-05-25 0.946676 0.952595 0.5455919991707 -2.8 -6.2 -0.5
2003-05-26 0.92087 0.928458 0.5455919991707 -3.2 -8.2 -2.6
2003-05-27 0.962237 0.986725 0.5455919991707 0.5 -6.2 -3
2003-05-28 0.976518 0.977043 0.5455919991707 0.5 -19.1 -6.9
2003-05-29 0.955272 0.97375 0.5455919991707 -2.6 -5.9 -4.8
2003-05-30 0.997764 0.953641 0.5455919991707 -2.2 -7.1 -4.3
2003-05-31 0.948106 0.955723 0.5455919991707 -2.5 -6.5 -3.7
2004-05-01 0.95181 0.958378 0.5455919991707 -1 -4.4 -3.9
2004-05-02 0.948279 0.955124 0.5455919991707 -1.1 -5.5 -4.2
2004-05-03 0.946781 0.946143 0.5455919991707 -0.799999 -4.4 -5.9
2004-05-04 0.929197 0.971772 0.5455919991707 -2.2 -6 -6.1
2004-05-05 0.931447 0.962427 0.5455919991707 -2.3 -0.5 -5.4
2004-05-06 0.82004 0.941036 0.5455919991707 -2.8 -5 -5.3
2004-05-07 0.92648 0.963821 0.5455919991707 -0.199999 -3.3 -4.1
2004-05-08 0.92035 0.92108 0.5455919991707 -2.3 -5.3 -2.4
2004-05-09 0.935976 0.953345 0.5455919991707 -1.4 -6 -3.6
2004-05-10 0.938774 0.94523 0.5455919991707 -2.1 -4.4 -2.8
2004-05-11 0.959485 0.946509 0.5455919991707 0 -6.7 -3.1
2004-05-12 0.919094 0.946137 0.5455919991707 -1.8 -4.8 -3.8
2004-05-13 0.925627 0.946308 0.5455919991707 -1.7 -5.9 -2.2
2004-05-14 0.911857 0.958908 0.5455919991707 -1.2 -4.6 -3.3
2004-05-15 0.895796 0.810232 0.5455919991707 -0.5 -5.8 -2.3
2004-05-16 0.915895 0.936457 0.5455919991707 -1.5 -6.1 -3
2004-05-17 0.893827 0.908305 0.5455919991707 -0.5 -6.9 -2.5
2004-05-18 0.9419 0.965379 0.5455919991707 -1.3 -7 -2.3
2004-05-19 0.939136 0.943953 0.5455919991707 -1.6 -6.1 -2.1
2004-05-20 0.928475 0.949362 0.5455919991707 -2.6 -9.4 -1.7
2004-05-21 0.931443 0.957404 0.5455919991707 -1.5 -7.4 -2.2
2004-05-22 0.931383 0.948567 0.5455919991707 -0.800001 -7 -3.7
2004-05-23 0.941691 0.943806 0.5455919991707 -1.1 -6.4 -3.2
2004-05-24 0.941848 0.968589 0.5455919991707 -3.7 -5.5 -0.2
2004-05-25 0.904649 0.9486 0.5455919991707 -1.9 -4.7 -1.3
2004-05-26 0.93655 0.94846 0.5455919991707 -1.1 -5.3 -1
2004-05-27 0.968917 0.958675 0.5455919991707 -2.7 -14.4 -0.700001
2004-05-28 0.721432 0.341555 0.5455919991707 -2.6 -6.4 -1.8
2004-05-29 0.969044 0.881262 0.5455919991707 -2.3 -5.7 -1.9
2004-05-30 0.974027 0.969783 0.5455919991707 -2.7 -5.1 -1.6
2004-05-31 0.984039 0.982544 0.5455919991707 -2.7 -5.2 -3.1
2005-05-01 0.867978 0.900351 0.5455919991707 -1.7 -7.2 -2.8
2005-05-02 0.952379 0.94093 0.5455919991707 -2.4 -5.5 -3.2
2005-05-03 0.942983 0.960096 0.5455919991707 -2.1 -5 -3.7
2005-05-04 0.792409 0.815009 0.5455919991707 -0.1 -5.9 -3.3
2005-05-05 0.309424 0.296155 0.5455919991707 -3.3 -3.1 -2.9
2005-05-06 0.883681 0.629516 0.5455919991707 -2.3 -4 -4.3
2005-05-07 0.845039 0.816106 0.5455919991707 -2.6 -5.4 -3.4
2005-05-08 0.940136 0.937949 0.5455919991707 -3.2 -4.5 -2.2
2005-05-09 0.709019 0.537152 0.5455919991707 -3.7 -5.5 -4.1
2005-05-10 0.858669 0.613689 0.5455919991707 -2.2 -4.3 -4.2
2005-05-11 0.914627 0.959749 0.5455919991707 -3.1 -2.5 -3.3
2005-05-12 0.968376 0.991159 0.5455919991707 -1.7 -4.6 -3.7
