d_date k k delta_z delta_max_at delta_min_at delta_dewp
2003-07-01 0.919636 0.943824 0.5455919991707 -1.4 -8.4 -4.5
2003-07-02 0.839195 0.885622 0.5455919991707 -0.799999 -5 -2.4
2003-07-03 0.862839 0.912022 0.5455919991707 -1.2 -5.4 -3.6
2003-07-04 0.854164 0.898822 0.5455919991707 -1.3 -5.6 -4.9
2003-07-05 0.821011 0.88259 0.5455919991707 0.0999985 -5.5 -4.6
2003-07-06 0.860807 0.919048 0.5455919991707 -1.2 -7.7 -1.8
2003-07-07 0.872119 0.907021 0.5455919991707 -0.600002 -6.7 -5.2
2003-07-08 0.771557 0.808293 0.5455919991707 -1.4 -5.1 -5.6
2003-07-10 0.953142 0.921599 0.5455919991707 -1.3 -4.9 -6.2
2003-07-11 0.919195 0.944908 0.5455919991707 -0.5 -5.5 -5.9
2003-07-14 0.940018 0.959821 0.5455919991707 0.100002 -5.4 -4
2003-07-15 0.970884 0.955418 0.5455919991707 -0.100002 -7.1 -3.1
2003-07-16 0.959062 0.958763 0.5455919991707 0.299999 -5.5 -4.7
2003-07-17 0.735634 0.957509 0.5455919991707 -0.200001 -5.5 -6.1
2003-07-21 0.948709 0.898174 0.5455919991707 -0.900002 -6.7 -1.1
2003-07-22 0.803935 0.982213 0.5455919991707 -1.8 -6.4 -5.1
2003-07-23 0.982826 0.922171 0.5455919991707 -1.2 -6.5 -3.7
2003-07-24 0.973348 0.982215 0.5455919991707 -2.6 -5.6 -1.5
2003-07-25 0.999897 0.986653 0.5455919991707 -2.2 -8.3 0.7
2003-07-26 0.924636 0.992775 0.5455919991707 0.299999 -7.5 -5.6
2003-07-27 0.96948 0.983877 0.5455919991707 -1.8 -5.3 -4.6
2003-07-28 0.956733 0.960844 0.5455919991707 -0.5 -5.8 -3.6
2004-07-01 0.948966 0.916712 0.5455919991707 -1.7 -9.9 -2.7
2004-07-02 0.954752 0.934803 0.5455919991707 -1.4 -8 -3.1
2004-07-03 0.886162 0.956383 0.5455919991707 -2.1 -7.5 -4.5
