d_date k1 k2 delta_z delta_max_at delta_min_at delta_dewp
2003-09-03 0.969319 0.742656 0.5455919991707 -2.5 -7.5 -2.2
2003-09-05 1 1 0.5455919991707 -0.599998 -5.1 -4.6
2003-09-08 0.999351 0.988725 0.5455919991707 -0.9 -6.5 -2.8
2003-09-09 0.967448 0.955202 0.5455919991707 -1.4 -4.8 -2.8
2003-09-10 0.942535 0.994203 0.5455919991707 -3.3 -5.1 -2
2003-09-11 0.999216 1 0.5455919991707 -1.3 -4.7 -3.5
2003-09-12 0.868726 0.988123 0.5455919991707 -1.3 -5.8 -4
2003-09-13 0.891373 0.959158 0.5455919991707 -2 -4.8 -4.2
2003-09-14 0.921985 0.972645 0.5455919991707 -0.700001 -5.4 -4
2003-09-16 0.922423 0.9674 0.5455919991707 -0.700001 -6.3 -2.8
2003-09-18 0.980765 0.962343 0.5455919991707 -1.1 -5.4 -4.8
2003-09-19 0.897601 1 0.5455919991707 -0.599998 -4.1 -5.3
2003-09-22 0.859668 0.923998 0.5455919991707 -1.8 -4.3 -6.8
2003-09-26 0.975119 0.977353 0.5455919991707 2 -2.4 -5.4
2004-09-01 0.969497 0.967958 0.5455919991707 -3 -18.8 -1.4
2004-09-02 0.970615 0.948431 0.5455919991707 -1.7 -6.8 -2.6
2004-09-03 0.96561 0.951817 0.5455919991707 -2.9 -6.5 -1.3
2004-09-04 0.966353 0.969826 0.5455919991707 -4.2 -6.2 0.3
2004-09-05 0.953422 0.931646 0.5455919991707 -4.8 -6 0.5
2004-09-06 0.950172 0.946027 0.5455919991707 -4.4 -7 0.2
2004-09-07 0.959918 0.95526 0.5455919991707 -5 -6.9 -0.8
2004-09-08 0.970603 0.929206 0.5455919991707 -0.599998 -4.6 -1.4
2004-09-09 0.963873 0.733463 0.5455919991707 -2.3 -7.3 -1.3
2004-09-10 0.972429 0.967946 0.5455919991707 -3.3 -6 1.1
2004-09-11 0.960752 0.967205 0.5455919991707 -2.2 -6.4 1.5
2004-09-12 0.977535 0.948259 0.5455919991707 -2.2 -6 0.1
2004-09-13 0.962818 0.979934 0.5455919991707 -3 -6.6 -0.5
2004-09-14 0.956995 0.964181 0.5455919991707 -3 -6.9 -3.1
2004-09-15 0.959232 0.961355 0.5455919991707 -1.4 -7.5 -3.5
2004-09-16 0.957606 0.96854 0.5455919991707 -1.6 -6.1 -1.2
2004-09-17 0.969458 0.991885 0.5455919991707 -1.8 -5.5 0.0999994
2004-09-18 0.945923 0.974205 0.5455919991707 -3.9 -6.1 -0.3
2004-09-19 0.921123 0.915277 0.5455919991707 -1.3 -6.2 -1.7
2004-09-20 0.953816 0.88542 0.5455919991707 -2.8 -6.5 -2
2004-09-21 0.970645 0.96381 0.5455919991707 -3.8 -5.3 -1.8
2004-09-22 0.954223 0.951575 0.5455919991707 -1.8 -4.9 -1.9
2004-09-23 0.96652 0.837793 0.5455919991707 -1.1 -4.9 -1.3
2004-09-24 0.967678 0.966679 0.5455919991707 -0.700001 -5.7 -1.7
2004-09-25 0.961011 0.937434 0.5455919991707 -2.1 -4.5 -2.3
2004-09-26 0.945426 0.915066 0.5455919991707 -1.5 -7 -2.9
2004-09-27 0.958205 0.938139 0.5455919991707 -1 -8.1 -3.3
2004-09-28 0.963262 0.964962 0.5455919991707 -0.199999 -8 -2.5
2004-09-29 0.96426 0.947419 0.5455919991707 0.199999 -5.5 -1.8
2004-09-30 0.911913 0.957727 0.5455919991707 -3.5 -5 -1.9
2005-09-01 0.929241 0.946351 0.5455919991707 -1.1 -8.2 -4.1
2005-09-02 0.959183 0.951871 0.5455919991707 -1.4 -7.8 -4.7
2005-09-03 0.926244 0.95567 0.5455919991707 -0.600002 -7.1 -5.3
2005-09-04 0.940147 0.963362 0.5455919991707 -2.3 -8.9 -4.1
2005-09-05 0.947699 0.951123 0.5455919991707 -2.2 -7.3 -4.9
