#EV  1     2     3     4     5     6     7     8     9     10    11    12   
Jan -0.09 -0.23	-0.28 0.41  -0.14 -0.09 -0.28 0.04  -0.17 -0.25 -0.07 0.69
Feb -0.14 -0.28	0.01  -0.34 -0.48 0.01  0.37  0.28  0.11  -0.39 -0.43 -0.03
Mar -0.22 -0.18	-0.11 0.04  -0.46 0.64  0.04  -0.37 0.08  0.29  0.24  0.01
Apr -0.27 -0.42	0.10  0.10  0.16  -0.45 0.24  -0.49 0.42  -0.08 0.15  0.00 
May -0.36 -0.34	0.31  0.09  0.43  0.26  0.29  0.12  -0.55 0.04  -0.05 0.02
Jun -0.43 0.17 	0.62  0.20  -0.14 0.04  -0.38 0.27  0.34  0.01  -0.03 0.03
Jul -0.46 0.52 	-0.19 0.22  -0.26 -0.33 0.40  -0.00 -0.24 0.18  0.04  -0.02
Aug -0.40 0.28 	-0.39 -0.16 0.40  0.33  -0.04 -0.00 0.24  -0.49 0.10  -0.02
Sep -0.33 -0.03	-0.13 -0.43 0.07  -0.15 -0.43 -0.30 -0.16 0.31  -0.51 0.02
Oct -0.20 -0.22	-0.08 -0.45 -0.13 -0.26 -0.20 0.32  -0.17 0.03  0.66  0.01 
Nov -0.10 -0.26	-0.41 0.20  0.19  0.01  0.07  0.51  0.37  0.50  -0.14 -0.09
Dec -0.09 -0.22	-0.18 0.38  -0.15 -0.08 -0.32 -0.03 -0.22 -0.27 -0.04 -0.71
